AUDIOFILE	DIALECT	SPEAKER	SEX	CHUNK	f0sd	f0SAQ	df0mean_pos	df0sd_pos	sl_LTAS_alpha	cvint	pause_sd	pause_meandur	pause_rate
PBAMAS004.wav	PB	pb09	MAS	CH4	2.04	1.87	3.21	2.44	-21.1	42.79	485.90	540.45	0.37
PBAMAS004.wav	PB	pb09	MAS	CH5	1.51	1.19	2.51	2.43	-20.4	29.10	489.26	542.73	0.37
PBAMAS004.wav	PB	pb09	MAS	CH6	1.26	1.07	0.80	0.60	-20.3	34.80	492.59	545.38	0.37
PBAMAS004.wav	PB	pb09	MAS	CH7	1.48	1.52	2.23	0.86	-22.1	45.31	498.71	552.38	0.37
PBAMAS004.wav	PB	pb09	MAS	CH8	1.67	1.15	1.98	2.42	-23.9	42.35	501.21	547.42	0.37
PBAMAS004.wav	PB	pb09	MAS	CH9	1.96	1.73	4.43	3.53	-23.9	50.95	490.55	544.58	0.37
PBAMAS004.wav	PB	pb09	MAS	CH10	1.31	0.99	1.53	1.10	-21.5	29.85	494.64	542.76	0.36
PBAMAS004.wav	PB	pb09	MAS	CH11	1.61	0.71	1.33	1.92	-18.8	28.26	502.90	558.18	0.36
PBAMAS004.wav	PB	pb09	MAS	CH12	3.06	1.22	3.91	7.55	-16.4	24.09	509.07	568.87	0.36
PBAMAS004.wav	PB	pb09	MAS	CH13	1.10	0.85	1.21	1.03	-16.0	26.51	515.91	578.63	0.36
PBAMAS004.wav	PB	pb09	MAS	CH14	1.94	1.73	2.92	2.86	-23.2	50.00	521.12	579.40	0.37
PBAMAS004.wav	PB	pb09	MAS	CH15	0.97	0.50	1.20	1.07	-20.9	35.17	512.74	562.65	0.37
PBAMAS004.wav	PB	pb09	MAS	CH16	0.88	0.63	1.20	0.93	-20.9	39.19	518.79	574.68	0.37
PBAMAS004.wav	PB	pb09	MAS	CH17	1.07	0.83	1.26	0.98	-20.3	36.52	524.13	571.74	0.37
PBAMAS004.wav	PB	pb09	MAS	CH18	1.89	0.84	2.36	3.33	-22.3	37.64	537.70	599.51	0.36
PBAMAS004.wav	PB	pb09	MAS	CH19	1.14	0.53	0.98	0.70	-21.3	33.49	539.35	604.21	0.36
PBAMAS004.wav	PB	pb09	MAS	CH20	0.91	0.73	1.10	0.67	-20.8	34.60	549.51	616.67	0.36
PBAMAS004.wav	PB	pb09	MAS	CH21	0.92	0.70	1.21	1.06	-23.7	41.98	556.44	627.35	0.36
PBAMAS004.wav	PB	pb09	MAS	CH22	1.03	0.69	0.78	0.52	-18.9	40.80	563.10	619.39	0.36
PBAMAS004.wav	PB	pb09	MAS	CH23	1.44	0.76	2.00	1.50	-17.2	50.22	570.75	644.52	0.34
PBAMAS005.wav	PB	pb10	MAS	CH1	1.21	0.78	1.18	0.88	-22.0	34.37	537.71	624.48	0.33
PBAMAS005.wav	PB	pb10	MAS	CH2	1.04	0.86	0.95	1.28	-20.1	29.39	544.52	646.15	0.33
PBAMAS005.wav	PB	pb10	MAS	CH3	1.16	1.08	0.98	0	-30.8	50.11	553.93	654.80	0.34
PBAMAS005.wav	PB	pb10	MAS	CH4	1.15	0.74	1.01	0.79	-20.9	43.38	565.72	657.08	0.33
PBAMAS005.wav	PB	pb10	MAS	CH5	1.33	0.77	1.09	1.02	-19.2	47.27	571.53	663.64	0.32
PBAMAS005.wav	PB	pb10	MAS	CH6	1.30	0.39	0.69	0.56	-19.7	33.18	522.75	659.44	0.29
PBAMAS005.wav	PB	pb10	MAS	CH7	0.65	0.35	1.56	1.50	-23.5	40.80	537.96	666.47	0.30
PBAMAS005.wav	PB	pb10	MAS	CH8	0.79	0.51	1.26	0.77	-12.9	25.47	553.83	676.87	0.30
